id,num,auto_id,order,title,type,num_first,num_sec,cate,project_num,rx_time,address,province,city,area,content,playtype,protect_unit
12408,Ⅱ-1,32,,左权开花调,传统音乐,2,1,新增项目,Ⅱ-001_01_140722,"2006,(第一批)",140000.0,山西省左权县,140700.0,140722.0,  左权县位于太行山主脉西侧、山西省东部边缘，古称辽州、辽县，后因纪念牺牲在此的抗日名将而改为左权。左权民歌蕴藏丰富，据《辽州志》载，宋元以来，当地就有“闹元宵”、“闹社火”、“闹红火”的传统风俗。历代民众不断创造、传承，陆续产生了多种民间音乐体裁，如山歌、小调、号子、套曲、小花戏和吹打等，其中以开花调最具代表性。该类民歌属“山歌体”，因所有唱词一律以“花”为中心，以“开花”为比兴，故称开花调。更为独特的是，所谓“花”，不仅有植物之“花”，更有各类日常用具、物品之“花”，如“门搭搭开花扑来来，门外走进哥哥来”、“玻璃开花里外明，远远照见俺咯旦儿亲”、“油灯灯开花一点明，小酒盅挖米不嫌你穷”等等。这些民歌构思精巧，语词新颖，为广大民众所喜闻乐见。此外，歌中用本地方言所构成的衬词衬句都堪称一绝，如“啊咯呀呀呆”、“亲咯旦儿”、“亲呀咯亲呀么呆呀咯呆”等，都极好地凸显了浓厚的地方色彩。 开花调音调简洁，深情感人，绝大多数由相互呼应的上下两个乐句组成，旋律进行以级进七声性音阶为主，间或出现大跳音型，用于表现情绪、情感的起伏跌宕，大大增加了音乐的感染力。 自20世纪40年代起，音乐工作者就开始在左权收集记录民歌，前后历经半个多世纪，仅收集到的开花调就有百首以上，代表曲目包括《桃花红，杏花白》、《有了心思慢慢来》、《会哥哥》、《格旦亲》、《想亲哥》、《土地还家》等。刘改鱼、冀爱芳、石占明等都是开花调的优秀传人。 以开花调为代表的左权民歌在20世纪七八十年代曾一度衰微，生态失衡。近期在广大民众和政府主管部门的共同努力下，传统歌风日渐恢复，新的传人相继出现，为民歌遗产的保护和传承提供了较好的基础。,local,左权县民歌研究中心
12409,Ⅱ-2,33,,河曲民歌,传统音乐,2,2,新增项目,Ⅱ-002_01_140930,"2006,(第一批)",140000.0,山西省河曲县,140900.0,140930.0,  河曲位于山西省西北部，东界偏关、五寨，南界岢岚、保德，西、北隔黄河分别与陕西、内蒙相邻，是一个“一鸡鸣三省”的特殊地区。由于地处黄河弯道，河曲历史上交通阻隔，土地贫瘠，旱涝无定，老百姓灾难深重。这一特殊的人文地理环境形成了当地老百姓每年春去冬回，到内蒙古大青山、河套一带打短工、拉长工的“走西口”生活生产方式。由这种年复一年的离妻别子的痛苦人生中自然产生了咏叹人间离苦、别绪、思念、期盼的“走西口”民歌，当地人称之为“山曲”。山曲属山歌体裁，它形成于何时尚无确定，但在山曲基础上形成的“二人台”，据考已有二百年左右的历史。方志中就有明代河曲“户有弦歌新治谱，儿童妇老尽歌讴”的记载，足见其歌唱传统的久远。 山曲唱词内容深刻，曲调丰富。1953年冬，中央音乐学院民族音乐研究所（现中国艺术研究院音乐研究所）首次到当地采录民歌，短短三个月即记录了一千五百多首唱词和一百五十多种曲调，其中的《三天路程两天到》、《人家都在你不在》、《割莜麦》、《提起哥哥走西口》、《真魂魂跟在你身左右》、《哥哥在东妹在西，天河隔在两头起》等都是词曲皆佳的传世精品。它们在词曲结构方面采用上下句体式，上句起兴，下句表情，往往一个上下句就揭示出一种深邃的感情状态或描绘出一种逼真的生活画面，像“山在水在石头在，人家都在你不在”、“听见哥哥唱上来，热身子扑在冷窗台”等都是典型的例子。山曲的曲调则运用并置、呼应、对比等两句体，蕴含有丰富的美学意味。在反映民歌发展历史与民间社会生活状况方面，也具有典型的意义。,local,河曲县二人台艺术研究中心
12410,Ⅱ-3,34,,蒙古族长调民歌,传统音乐,2,3,新增项目,Ⅱ-003_01_150000,"2006,(第一批)",150000.0,内蒙古自治区,,,  长调是蒙古语“乌日汀哆”的意译。“乌日汀”为“长久”、“永恒”之意，“哆”为“歌”之意。在相关著作和论文中，也将其直译为“长歌”、“长调歌”或“草原牧歌”等。 根据蒙古族音乐文化的历史渊源和音乐形态的现状，长调可界定为由北方草原游牧民族在畜牧业生产劳动中创造的，在野外放牧和传统节庆时演唱的一种民歌。长调旋律悠长舒缓、意境开阔、声多词少、气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式所形成的华彩唱法最具特色。 早在一千多年前，蒙古族的祖先走出额尔古纳河两岸山林地带向蒙古高原迁徙，生产方式也随之从狩猎业转变为畜牧业，长调这一新的民歌形式便产生、发展了起来。在相当长的历史时期内，它逐渐取代结构方整的狩猎歌曲，占据了蒙古民歌的主导地位，最终形成了蒙古族音乐的典型风格，并对蒙古族音乐的其他形式均产生了深刻的影响。可以说，长调集中体现了蒙古游牧文化的特色与特征，并与蒙古民族的语言、文学、历史、宗教、心理、世界观、生态观、人生观、风俗习惯等紧密联系在一起，贯穿于蒙古民族的全部历史和社会生活中。长调的基本题材包括牧歌、思乡曲、赞歌、婚礼歌和宴歌（也称酒歌）等。 长调民歌所包含的题材与蒙古族社会生活紧密相联，它是蒙古族全部节日庆典、婚礼宴会、亲朋相聚、“那达慕”等活动中必唱的歌曲，全面反映了蒙古族人民的心灵历史和文化品位。代表曲目有《走马》、《小黄马》、《辽阔的草原》、《辽阔富饶的阿拉善》等。长调民歌的研究涉及到音乐学的诸多分支学科，对它的研究与保护实际上就是对历史悠久的草原文明与草原文化类型最强有力的传承与保护。,local,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）
12411,Ⅱ-3,34,,蒙古族长调民歌,传统音乐,2,3,扩展项目,Ⅱ-003_02_652800,"2008,(第二批)",650000.0,新疆维吾尔自治区巴音郭楞蒙古自治州,652800.0,,  长调系蒙古语“乌日汀哆”的意译，它是北方草原游牧民族在畜牧业生产劳动中创造的一种民歌，在野外放牧和传统节庆时演唱。长调在蒙古族社会生活中占有重要地位，那达慕大会、婚礼、乔迁和婴儿降生庆典等传统社交与宗教节庆活动中都能听到长调的演唱。新疆地区的蒙古族长调民歌主要分布在巴音郭楞蒙古自治州及和布克赛尔蒙古自治县等地区。 长调历史久远，一千多年前，蒙古族祖先向蒙古高原迁徙，生产方式随之从狩猎转变为畜牧，长调民歌即在这一过程中产生和发展起来。这一艺术样式集中体现了蒙古游牧文化的特色，与蒙古民族的语言、文学、历史、宗教、风俗习惯及世界观、生态观、人生观等紧密联系在一起，贯穿于蒙古民族的社会生活之中。 长调歌腔舒展，意境开阔，声多词少，气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式最具特色。长调民歌一般为上下两句，参差不齐的长短乐句以其特有的律动保持动态平衡，蕴含着丰富的音调与节奏变化。按内容分，长调的基本类型包括牧歌、思乡曲、赞歌、劳动歌、仪式歌、历史歌、时政歌、宴歌（也称“酒歌”）等。 长调民歌具有极高的研究价值，是人类学、民族学、音乐学等学科重要的研究对象。保护蒙古族长调民歌，对于蒙古草原文明的传承具有重要意义。现代化、城市化的进程使蒙古族长调民歌受到强烈冲击，目前能够演唱的艺人已屈指可数，其中许多人年事已高，长调的传承发扬面临危机，抢救、保护这一文化遗产已成为一项刻不容缓的工作。,local,新疆巴音郭楞蒙古自治州文化馆
12412,Ⅱ-3,34,,蒙古族长调民歌,传统音乐,2,3,扩展项目,Ⅱ-003_02_654226,"2008,(第二批)",650000.0,新疆维吾尔自治区和布克赛尔蒙古自治县,654200.0,654226.0,  长调系蒙古语“乌日汀哆”的意译，它是北方草原游牧民族在畜牧业生产劳动中创造的一种民歌，在野外放牧和传统节庆时演唱。长调在蒙古族社会生活中占有重要地位，那达慕大会、婚礼、乔迁和婴儿降生庆典等传统社交与宗教节庆活动中都能听到长调的演唱。新疆地区的蒙古族长调民歌主要分布在巴音郭楞蒙古自治州及和布克赛尔蒙古自治县等地区。 长调历史久远，一千多年前，蒙古族祖先向蒙古高原迁徙，生产方式随之从狩猎转变为畜牧，长调民歌即在这一过程中产生和发展起来。这一艺术样式集中体现了蒙古游牧文化的特色，与蒙古民族的语言、文学、历史、宗教、风俗习惯及世界观、生态观、人生观等紧密联系在一起，贯穿于蒙古民族的社会生活之中。 长调歌腔舒展，意境开阔，声多词少，气息绵长，旋律极富装饰性（如前倚音、后倚音、滑音、回音等），尤以“诺古拉”（蒙古语音译，波折音或装饰音）演唱方式最具特色。长调民歌一般为上下两句，参差不齐的长短乐句以其特有的律动保持动态平衡，蕴含着丰富的音调与节奏变化。按内容分，长调的基本类型包括牧歌、思乡曲、赞歌、劳动歌、仪式歌、历史歌、时政歌、宴歌（也称“酒歌”）等。 长调民歌具有极高的研究价值，是人类学、民族学、音乐学等学科重要的研究对象。保护蒙古族长调民歌，对于蒙古草原文明的传承具有重要意义。现代化、城市化的进程使蒙古族长调民歌受到强烈冲击，目前能够演唱的艺人已屈指可数，其中许多人年事已高，长调的传承发扬面临危机，抢救、保护这一文化遗产已成为一项刻不容缓的工作。,local,和布克赛尔蒙古自治县非物质文化遗产保护中心
12413,Ⅱ-3,34,,蒙古族长调民歌（巴尔虎长调）,传统音乐,2,3,扩展项目,Ⅱ-003_04_150726,"2014,(第四批)",150000.0,内蒙古自治区新巴尔虎左旗,150700.0,150726.0,None,local,新巴尔虎左旗文化馆
23641,Ⅱ-3,34,,蒙古族长调民歌（乌珠穆沁长调）,传统音乐,2,3,扩展项目,,"2021,(第五批)",150000.0,内蒙古自治区锡林郭勒盟西乌珠穆沁旗,152500.0,152526.0,None,local,西乌珠穆沁旗文化馆
12414,Ⅱ-4,35,,蒙古族呼麦,传统音乐,2,4,新增项目,Ⅱ-004_01_150000,"2006,(第一批)",150000.0,内蒙古自治区,,,"  呼麦是蒙古族人创造的一种神奇的歌唱艺术：一个歌手纯粹用自己的发声器官，在同一时间里唱出两个声部。呼麦声部关系的基本结构为一个持续低音和它上面流动的旋律相结合。又可以分为“泛音呼麦”、“震音呼麦”、“复合呼麦”等。在中国各民族民歌中,它是独一无二的。 呼麦主要分布在内蒙古自治区的锡林郭勒、呼伦贝尔草原及呼和浩特市等地区，新疆自治区阿尔泰山一带的蒙古族居住地以及蒙古、俄罗斯图瓦地区也能听到这种歌唱方式。 据考证，呼麦的历史可以远溯至匈奴时期，至迟在蒙古族形成前后就已经产生。 作为一种特殊的民间歌唱形式，呼麦是蒙古族杰出的创造。它传达着蒙古族人民对自然宇宙和世界万物深层的哲学思考和体悟，表达了蒙古民族追求和谐生存发展的理念和健康向上的审美情趣。 呼麦是蒙古民族最古老的艺术形式之一，它更多地保留了原始歌唱的某些因素，是一种来自民族记忆深处的久远回音，与蒙古族的历史、文化息息相关，对于人类学、民族学、民俗学研究均有重要的价值。 抢救和保护“呼麦”这种神奇的歌唱艺术，使它免遭灭绝之灾，是一项重要而紧迫的任务。",local,内蒙古自治区艺术研究所（内蒙古自治区艺术档案馆）
12415,Ⅱ-4,35,,蒙古族呼麦,传统音乐,2,4,扩展项目,Ⅱ-004_02_654300,"2008,(第二批)",650000.0,新疆维吾尔自治区阿勒泰地区,654300.0,,  呼麦是新疆蒙古族楚吾尔音乐的一种，又称“霍林楚吾尔”，可分为“泛音呼麦”、“震音呼麦”、“复合呼麦”等类型，主要分布在内蒙古自治区的锡林郭勒、呼伦贝尔草原及呼和浩特市等地区，新疆自治区阿尔泰山一带的蒙古族居住地也能听到这种歌唱方式。除此之外，呼麦还远播蒙古和俄罗斯的图瓦地区。 呼麦是蒙古族人创造的一种神奇的歌唱艺术，演唱时歌手运用特殊的声音技巧，在同一时间唱出两个声部，表现为一个持续低音和它上面流动旋律的结合，形成罕见的多声部演唱形态。据有关学者考证，我国诸多古籍中记载的北方草原民族的歌唱艺术“啸”可能即是呼麦的原始形态。相传早在13世纪蒙古草原流行英雄史诗说唱艺术时，呼麦就已十分盛行。 因受特殊演唱技巧限制，呼麦的曲目并不十分丰富，大体可分为三种类型。一是咏唱美丽的自然风光，如《阿尔泰山颂》、《额布河流水》等；二是表现和模拟野生动物的可爱形态，如《布谷鸟》、《黑走熊》等；三是赞美骏马和草原，如《四岁的海骝马》等。从风格特点上来看，蒙古族呼麦以短调音乐为主，但也能演唱一些简短的长调歌曲。 呼麦是蒙古民族杰出的艺术创造，它是一种来自民族记忆深处的久远回音，较多地保留了原始歌唱的某些因素，借以表达出蒙古人民对自然宇宙和世界万物深入的哲学思考。呼麦与蒙古族的历史、文化息息相关，对于人类学、民族学、民俗学的研究均有重要参考价值。目前，呼麦仅流传于极少数蒙古族农牧民中，有着深厚艺术造诣的艺人相继去世，传承乏人，已处于严重濒危状态，亟待抢救保护。,local,阿勒泰市文化馆（阿勒泰市非物质文化遗产保护中心、阿勒泰市美术馆）
12416,Ⅱ-5,36,,当涂民歌 ,传统音乐,2,5,新增项目,Ⅱ-005_01_340500,"2006,(第一批)",340000.0,安徽省马鞍山市,340500.0,,  当涂民歌是流行于皖东长江两岸的各类民歌的统称。早在六朝时期（220－589）就有当涂民歌的记载，刘宋皇帝刘裕主持的著名的“白歌舞”即是当涂民歌演唱之一脉。长期生活在当涂的北宋词人李之仪的二十多首《田夫踏歌》和“我住长江头，君住长江尾”的吟唱都属于民歌范畴。清代当涂人黄钺以当地风俗民情为主要内容的五十多首《于湖竹枝词》代表了当时当涂民歌的最高艺术水平。1949年以后，当涂人民创作民歌、传唱民歌形成了热潮，到20世纪50年代末期，发展至鼎盛阶段。 当涂民歌数量众多，题材广泛，内容几乎涉及到社会生活的各个方面。同时，平原、圩区、丘陵山区的民歌异彩纷呈，形成多种体裁。流行于当涂大公圩一带的是号子、牛歌、舞调，流行于博望、湖阳、新市一带的是船歌、渔歌、灯歌，流行于沿江采石、霍里、新桥一带的是秧歌、对歌、门歌等。当涂民歌语言丰富，结构完整，曲调多样，唱法独特，显示出鲜明的地方性民间音乐和语言艺术的魅力。代表曲目有《打麦歌》、《放牛歌》和《姐在田里薅豆棵》等。 当涂民歌是当涂人民智慧的结晶，是劳动人民口头创作、口头演唱、口耳相传的文化表现形式的典型代表，经过历代文化人的艺术加工后，更具有了高度的历史价值和文化价值、艺术价值，是不可多得的音乐和语言艺术珍品。,local,当涂县文化馆
